l2_code,l2_name,l3_code,l3_name,l4_code,l4_name,l5_code,l5_name
g,Grassland,g1,Acid grassland,g1a,Lowland dry acid grassland,g1a5,Inland dunes with open grasslands (H2330)
g,Grassland,g1,Acid grassland,g1a,Lowland dry acid grassland,g1a6,Other lowland dry acid grassland
g,Grassland,g2,Acid grassland,g1b,Upland acid grassland,g1b5,Montane acid grassland (H6150)
g,Grassland,g3,Acid grassland,g1c,Bracken,NA,NA
g,Grassland,g4,Acid grassland,g1d,Other lowland acid grassland,NA,NA
g,Grassland,g2,Calcareous grassland,g2a,Lowland calcareous grassland,g2a5,Dry grasslands and scrub on chalk or limestone; lowland (H6210)
g,Grassland,g2,Calcareous grassland,g2a,Lowland calcareous grassland,g2a6,Dry grasslands and scrub on chalk or limestone; important orchid sites (H6210)
g,Grassland,g2,Calcareous grassland,g2b,Upland calcareous grassland,g2b5,Alpine and subalpine calcareous grasslands (H6170)
g,Grassland,g2,Calcareous grassland,g2b,Upland calcareous grassland,g2b6,Species-rich grassland with mat-grass in upland areas (H6230)
g,Grassland,g2,Calcareous grassland,g2b,Upland calcareous grassland,g2b7,Dry grasslands and scrub on chalk or limestone; upland (H6210)
g,Grassland,g2,Calcareous grassland,g2c,Other calcareous grassland,NA,NA
g,Grassland,g3,Neutral grassland,g3a,Lowland meadows,g3a5,Lowland hay meadows (H6510)
g,Grassland,g3,Neutral grassland,g3b,Upland hay meadows,g3b5,Mountain hay meadows (H6520)
g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,g3c5,Arrhenatherum neutral grassland
g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,g3c6,Lolium-Cynosurus neutral grassland
g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,g3c7,Deschampsia neutral grassland
g,Grassland,g3,Neutral grassland,g3c,Other neutral grassland,g3c8,Holcus-Juncus neutral grassland
g,Grassland,g4,Modified grassland,NA,NA,NA,NA
w,Woodland,w1,Broadleaved and mixed woodland,w1a,Upland woodland,w1a5,Western acidic oak woodland (H91A0)
w,Woodland,w1,Broadleaved and mixed woodland,w1b,Upland mixed ashwoods,w1b5,Lime maple woodlands of rocky slopes (H9180)
w,Woodland,w1,Broadleaved and mixed woodland,w1b,Upland mixed ashwoods,w1b6,Other upland mixed ashwoods 
w,Woodland,w1,Broadleaved and mixed woodland,w1c,Lowland beech and yew woodland,w1c5,Beech forests on acid soils (H9120)
w,Woodland,w1,Broadleaved and mixed woodland,w1c,Lowland beech and yew woodland,w1c6,Beech forests on neutral to rich soils (H9130)
w,Woodland,w1,Broadleaved and mixed woodland,w1c,Lowland beech and yew woodland,w1c7,Yew-dominated woodland (H91J0)
w,Woodland,w1,Broadleaved and mixed woodland,w1c,Lowland beech and yew woodland,w1c8,Natural box scrub (H5110)
w,Woodland,w1,Broadleaved and mixed woodland,w1d,Wet woodland,w1d5,Alder woodland on floodplains (H91E0)
w,Woodland,w1,Broadleaved and mixed woodland,w1d,Wet woodland,w1d6,Bog woodland (H91D0)
w,Woodland,w1,Broadleaved and mixed woodland,w1e,Upland birchwoods,NA,NA
w,Woodland,w1,Broadleaved and mixed woodland,w1f,Lowland mixed deciduous woodland,w1f5,Dry-oak dominated woodland (H9190)
w,Woodland,w1,Broadleaved and mixed woodland,w1f,Lowland mixed deciduous woodland,w1f6,Oak-hornbeam forests (H9160)
