code,title,definition,landscape_ecological_context,synonyms,inclusions,exclusions,species,nvc_associations
10,Scattered scrub,"Non-woodland habitats with an overall scrub cover of ≥5% and <75% and that include ≥3 individual bushes per 0.4 ha or patches of scrub, each ≤0.04 ha.",,,,Scrub patches ≥0.04 ha (see h3~).,,
100,Grazed,"Managed by farm livestock grazing, including exotic",,,,Habitat exclusively grazed by wild animals.,.,
101,Cattle grazed,Managed by cattle grazing – direct evidence of animals or their signs.,,,,,,
102,Sheep grazed,Managed by sheep grazing – direct evidence of animals or their signs.,,,,,,
103,Horse grazed,Managed by horse grazing – direct evidence of animals or their signs.,,,,,,
104,Other grazed,"Managed using livestock other than cattle, sheep or horses – e.g. goats, pigs, donkeys, farmed deer or exotic animals such as llamas or alpacas.",,,,,,
105,Burnt,"Evidence of deliberate or accidental burning of vegetation (e.g. dwarf-shrubs, grass, Bracken Pteridium aquilinum, Gorse Ulex spp.) that has consumed within the current year or season all or most of the above-ground biomass.",,,,Burnt areas from previous years.,,
106,Mown,"Mechanised cutting of grass, Bracken Pteridium aquilinum, tall-herbs or dwarf-shrubs, including flailing, strimming, on intervals from 6 months (grass) to several years (heathland).",,,,,,
107,Mown and collected,"Open habitat that is mown or cut with the arisings collected and removed, usually for biodiversity enhancement reasons.",,,,Grasslands cut for hay (see 109). Grasslands cut for silage or haylage (see 110). Lawn mowing in gardens.,,
108,Frequently mown,"Frequent (>2 times per year) mechanised cutting of grass, as in garden lawns, golf course fairways and urban parks managed as short grassland. It is assumed the cuttings are collected or mulched by the mower.",,,,,,
109,Hay,Mechanised cutting or scything of grassland followed by sun-drying and collection of the cut material.,,,,,,
11,Hedgerow with trees,"A linear feature ≥20 m long with a woody component <5 m wide at its base, a shrub layer present and with ≥2 prominent trees taking their natural shape that are <20 m apart over most of its length.",,,,"Hedgerow lengths with only one prominent tree taking its natural shape (omit this code). Linear features with trees but with shrub layer absent (see 33, 34).",,
110,Silage and haylage,"Grassland used as grass or other green fodder that is compacted and stored in airtight conditions, without first being fully dried, and used as animal feed in the winter.",,,,,,
111,Hedgebank,Earthbank with height ≥0.5m from its base with a more or less continuous hedgerow or line of trees along its top. .,Banks associated with hedgerows are common landscape features of Devon and Cornwall but may be found elsewhere.,,,Earthbank with a gappy hedgerow or only herbaceous,", Bracken Pteridium aquilinum or Bramble Rubus fruticosus agg. along its top (see 112). Stone-faced bank (see 113).",
113,Stone-faced bank,A stone-faced bank with height ≥0.5m from its base with or without a hedge along its top.,,,,,,
115,Grazing and browsing,An area of open habitat that has been fenced to exclude livestock or deer in order to promote vegetation or wildlife features.,,,,,,
116,Flailed hedgerow,Hedgerow managed by mechanical flail in the last 3 years.,,,,,,
117,Laid hedgerow,Hedgerow managed by traditional laying (layering).,,,"Outgrown, formerly laid hedgerow >5m tall that has clearly been left to grow for future laying.","Woody feature >5m tall that is not clearly left to grow for future laying (see 33, 34).",,
118,Species-rich hedgerow,Hedgerows (see h2~) with a rich herbaceous ground flora.,,,,,-rich native hedgerows (see h2a5) are defined exclusively through woody,
119,Green lane,"An unsurfaced track vegetated underfoot, often enclosed by hedges or dry stone walls. May or may not be a public right of way. They are normally of great age.",,,,Unsurfaced unvegetated tracks bounded only by walls.,,
12,Scattered bracken,Habitats with Bracken Pteridium aquilinum at ≥5% and <95% canopy cover at the height of the growing season.,,,,,,
